art;variant;sort;dansk_navn;n
Betula hybr.;NA;Hekla;Birk 'Hekla';1
Broussonetia papyrifera;NA;NA;Papirmorbær;1
Catalpa hybr. erubescens;NA;NA;Hybrid-trompetkrone;1
Celtis australis;NA;NA;Europæisk nældetræ;1
Celtis sinensis;NA;NA;Nældetræ;1
Cercis canadensis;NA;Forest Pansy;Judastræ;1
Cercis siliquastrum;NA;NA;Europæisk judastræ;1
Colutea arborescens;NA;NA;Blærebælg;1
Cornus sanguinea;NA;NA;Rød kornel;1
Corylus americana;NA;NA;Amerikansk hassel;1
Davidia involucrata;NA;Vilmoriniana;Duetræ;1
Fothergilla major;NA;NA;Stor troldel;1
Hamamelis hybr. intermedia;NA;Brevipetala;Hybrid-troldnød;1
Hibiscus syriacus;NA;NA;Syrisk rose;1
Hydrangea arboreum;NA;NA;Hortensia;1
Kerria japonica;NA;NA;Ranunkelbusk;1
Magnolia hybr. thompsoniana;NA;NA;Magnolie (intet dansk artsnavn);1
Malus hybr. robusta;NA;NA;Paradisæble;1
Malus sieboldii;NA;Freja;Japansk prydæble 'Freja';1
Osmanthus heterophyllus;NA;NA;Djævletræ;1
Physocarpus opulifolius;NA;El Diabolo;Rødbladet blærespirea;1
Poncirus trifoliatus;NA;NA;Dværgcitron;1
Populus balsamifera;NA;NA;Balsampoppel;1
Populus hybr. gileadensis;NA;NA;Ontarisk poppel;1
Prunus cerasifera;NA;Atropupurea;Blodblomme;1
Prunus persica;NA;NA;Fersken;1
Pterocarya hybr. rhederiana;NA;NA;Vingevalnød (intet dansk artsnavn);1
Pyrus communis;NA;Grev Moltke;Pære 'Grev Moltke';1
Pyrus piperitum;NA;NA;Pære;1
Quercus phellos;NA;NA;Pile-eg;1
Quercus pontica;NA;NA;Armensk eg;1
Rhamnus catharticus;NA;NA;Vrietorn;1
Rhamnus imeritinus;NA;NA;Kaukasisk vrietorn;1
Rhododendron williamsianum;NA;NA;Williamsianum rhododendron;1
Rhus vernciflua;NA;NA;Lak-giftsumak;1
Robinia luxurians;NA;NA;Pragtrobinie;1
Salix pentandra;NA;Jubillo;Femhannet pil;1
Sambucus nigra;NA;Korsør;Almindelig hyld;1
Sorbaria arborea;NA;Vilmorini;Tusindtop;1
Sorbus alnifolia;NA;NA;Ellebladet røn;1
Staphylea colchica;NA;NA;Kaukasisk blærenød;1
Symphoricapos albus;NA;NA;Hvid snebær;1
Ulmus hybr.;NA;Regal;Elm 'Regal';1
Ulmus hybr.;NA;Sapporo Autumn Gold;Elm 'Sapporo Autumn Gold';1
