order,family,genus,art,art_id,color
Pinales,Pinaceae,Picea,Picea orientalis,187,#22A785
Pinales,Pinaceae,Picea,Picea pungens,188,#21A685
Pinales,Pinaceae,Picea,Picea sp.,189,#21A685
Pinales,Pinaceae,Pinus,Pinus bungeana,190,#21A685
Pinales,Pinaceae,Pinus,Pinus cembra,191,#21A585
Pinales,Pinaceae,Pinus,Pinus mugo,192,#21A585
Pinales,Pinaceae,Pinus,Pinus nigra,193,#20A486
Pinales,Pinaceae,Pinus,Pinus parviflora,194,#20A486
Pinales,Pinaceae,Pinus,Pinus peuce,195,#20A386
Pinales,Pinaceae,Pinus,Pinus ponderosa,196,#20A386
Pinales,Pinaceae,Pinus,Pinus sp.,197,#20A387
Pinales,Pinaceae,Pinus,Pinus strobus,198,#1FA287
Pinales,Pinaceae,Pinus,Pinus sylvestris,199,#1FA287
Pinales,Pinaceae,Pinus,Pinus tabuliformis,200,#1FA187
Pinales,Pinaceae,Pinus,Pinus wallichiana,201,#1FA187
Pinales,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,202,#1FA188
Pinales,Pinaceae,Pseudotsuga,Pseudotsuga sp.,203,#1FA188
Pinales,Pinaceae,Tsuga,Tsuga canadensis,204,#1FA088
Pinales,Pinaceae,Tsuga,Tsuga diversifolia,205,#1FA088
Pinales,Pinaceae,Tsuga,Tsuga mertensiana,206,#1F9F88
Pinales,Pinaceae,Tsuga,Tsuga sp.,207,#1F9F88
Proteales,Platanaceae,Platanus,Platanus hybr. acerifolia,208,#1F9F88
Proteales,Platanaceae,Platanus,Platanus orientalis,209,#1F9E89
Proteales,Platanaceae,Platanus,Platanus sp.,210,#1F9E89
Rosales,Cannabaceae,Celtis,Celtis australis,211,#1E9D89
Rosales,Cannabaceae,Celtis,Celtis sinesis,212,#1E9D89
Rosales,Elaeagnaceae,Elaeagnus,Elaeagnus angustifolia,213,#1E9C89
Rosales,Elaeagnaceae,Hippophaë,Hippophaë rhamnoides,214,#1E9C89
Rosales,Moraceae,Broussonetia,Broussonetia papyrifera,215,#1E9C89
Rosales,Moraceae,Maclura,Maclura pomifera,216,#1E9B8A
Rosales,Moraceae,Morus,Morus alba,217,#1E9B8A
Rosales,Moraceae,Morus,Morus nigra,218,#1F9A8A
Rosales,Rhamnaceae,Rhamnus,Rhamnus catharticus,219,#1F9A8A
Rosales,Rhamnaceae,Rhamnus,Rhamnus frangula,220,#1F998A
Rosales,Rhamnaceae,Rhamnus,Rhamnus imeritinus,221,#1F998A
Rosales,Rhamnaceae,Rhamnus,Rhamnus sp.,222,#1F988B
Rosales,Rosaceae,Amelanchier,Amelanchier arborea,223,#1F988B
Rosales,Rosaceae,Amelanchier,Amelanchier canadensis,224,#1F988B
Rosales,Rosaceae,Amelanchier,Amelanchier hybr. grandiflora,225,#1F978B
Rosales,Rosaceae,Amelanchier,Amelanchier laevis,226,#1F978B
Rosales,Rosaceae,Amelanchier,Amelanchier lamarckii,227,#1F968B
Rosales,Rosaceae,Amelanchier,Amelanchier sp.,228,#1F968B
Rosales,Rosaceae,Aronia,Aronia melanocarpa,229,#1F958B
Rosales,Rosaceae,Aronia,Aronia prunifolia,230,#1F958B
Rosales,Rosaceae,Cotoneaster,Cotoneaster sp.,231,#1F948C
Rosales,Rosaceae,Crataegus,Crataegus crus-galli,232,#1F948C
Rosales,Rosaceae,Crataegus,Crataegus douglasii,233,#1F948C
Rosales,Rosaceae,Crataegus,Crataegus intricata,234,#20938C
Rosales,Rosaceae,Crataegus,Crataegus laevigata,235,#20928C
Rosales,Rosaceae,Crataegus,Crataegus lavallei,236,#20928C
Rosales,Rosaceae,Crataegus,Crataegus monogyna,237,#20928C
Rosales,Rosaceae,Crataegus,Crataegus prunifolia,238,#20928C
Rosales,Rosaceae,Crataegus,Crataegus sp.,239,#20928C
Rosales,Rosaceae,Crataegus,Crataegus submollis,240,#21928C
Rosales,Rosaceae,Cydonia,Cydonia oblonga,241,#21918C
Rosales,Rosaceae,Cydonia,Cydonia sp.,242,#21918C
Rosales,Rosaceae,Kerria,Kerria japonica,243,#21908D
Rosales,Rosaceae,Malus,Malus baccata,244,#21908D
Rosales,Rosaceae,Malus,Malus domestica,245,#218F8D
Rosales,Rosaceae,Malus,Malus hybr.,246,#218F8D
Rosales,Rosaceae,Malus,Malus hybr. floribunda,247,#218E8D
Rosales,Rosaceae,Malus,Malus hybr. robusta,248,#218E8D
Rosales,Rosaceae,Malus,Malus ioensis,249,#228D8D
Rosales,Rosaceae,Malus,Malus sargentii,250,#228D8D
Rosales,Rosaceae,Malus,Malus sieboldii,251,#228C8D
Rosales,Rosaceae,Malus,Malus sp.,252,#228C8D
Rosales,Rosaceae,Malus,Malus sylvestris,253,#228C8D
